R,Nome,R_Mantra,Squadra_y,Tit,Quote,Predict,Predict STD,FinVal,Diff,Tot. (%),SpesaPer,SpesaM,SpesaDiff,TA,LJAJIC,Torino,16
A,TUMMINELLO,Pc,Atalanta,0.5,7.0,5.580843028059676,0.2394284813373557,6.068516046631141,-0.9314839533688595,2.45,7.350000000000001,14.33702800860762,13.97405601721524,Pc,TUMMINELLO,Atalanta,7
A,CORNELIUS,Pc,Atalanta,0.45,4.0,5.447368135847972,0.2066393580322145,4.131547663348051,0.1315476633480519,2.44,7.32,10.91888776877643,7.197775537552857,Pc,CORNELIUS,Atalanta,4
D,RECA,Ds;E,Atalanta,0.5,5.0,5.491859766585206,0.2175690658005949,5.249671715582106,0.2496717155821058,0.68,2.04,10.24336637778256,16.40673275556513,DsE,RECA,Atalanta,5
C,PESSINA,C,Atalanta,0.45,5.0,5.491859766585206,0.2175690658005949,4.540969828872568,-0.4590301711274316,1.02,3.06,9.508218584188958,12.89643716837791,C,PESSINA,Atalanta,5
D,MATTIELLO,E,Bologna,0.75,7.999999999999999,5.580309660353424,0.2514505537238454,9.75091090979072,1.750910909790721,0.99,2.97,18.61678055899528,31.29356111799056,E,MATTIELLO,Bologna,8
P,SKORUPSKI,Por,Bologna,0.9,9.0,5.62480129109066,0.2623802614922259,12.28643873544386,3.286438735443856,3.26,9.78,26.47655475518864,33.39310951037727,Por,SKORUPSKI,Bologna,9
D,DE MAIO,Dc,Bologna,0.75,7.0,5.535818029616189,0.2405208459554651,9.341488744266197,2.341488744266197,1.35,4.050000000000001,18.43744974358274,28.77489948716548,Dc,DE MAIO,Bologna,7
C,DONSAH,M;C,Bologna,0.75,7.999999999999999,5.580309660353424,0.2514505537238454,9.75091090979072,1.750910909790721,0.92,2.76,18.51178055899528,31.50356111799055,MC,DONSAH,Bologna,8
C,KREJCI,W,Bologna,0.45,5.0,5.446834768141719,0.2186614304187043,4.270433092959935,-0.7295669070400654,0.58,1.74,8.372901351196047,13.2658027023921,W,KREJCI,Bologna,5
A,OKWONKWO,A,Bologna,0.5,5.0,5.446834768141719,0.2186614304187043,4.979134979669478,-0.02086502033052184,1.4,4.199999999999999,10.84804914478966,13.29609828957933,A,OKWONKWO,Bologna,5
C,SVANBERG,E;M,Bologna,0.45,3.0,5.357851506667249,0.1968020148819434,3.451588761910894,0.4515887619108936,0.88,2.64,7.384239720370982,9.488479440741964,EM,SVANBERG,Bologna,3
C,CIGARINI,M;C,Cagliari,0.7,7.0,5.534289403125824,0.240557932408549,8.623601968374437,1.623601968374437,2.58,7.74,19.02116463652332,22.56232927304664,MC,CIGARINI,Cagliari,7
D,ANDREOLLI,Dc,Cagliari,0.3,4.0,5.400814510914119,0.2077688091034078,1.725720378124583,-2.274279621875416,1.08,3.24,4.651989841536891,2.823979683073782,Dc,ANDREOLLI,Cagliari,4
A,CERRI,Pc,Cagliari,0.6,7.0,5.534289403125824,0.240557932408549,7.206198194955364,0.2061981949553635,4.29,12.87,19.09586904933612,12.45173809867223,Pc,CERRI,Cagliari,7
D,CAPUANO,Ds;Dc,Frosinone,0.7,5.0,5.440938637393167,0.2188044781663138,7.778515096804782,2.778515096804782,0.94,2.82,15.07639639579596,24.51279279159192,DsDc,CAPUANO,Frosinone,5
D,PISACANE,Dd;Ds;Dc,Cagliari,0.55,4.0,5.400814510914119,0.2077688091034078,5.269229811672281,1.269229811672281,1.1,3.3,10.90772880950493,15.21545761900987,DdDsDc,PISACANE,Cagliari,4
C,BRADARIC,M;C,Cagliari,0.65,9.0,5.623272664600294,0.2624173479453099,8.733744412713936,-0.2662555872860644,1.37,4.11,17.39967847375477,26.57935694750955,MC,BRADARIC,Cagliari,9
A,MEGGIORINI,A,Chievo,0.5,6.0,5.491326398878955,0.2295911381870847,5.388557145193989,-0.6114428548060111,0.76,2.28,10.60737996020218,16.65475992040436,A,MEGGIORINI,Chievo,6
A,PELLISSIER,Pc,Chievo,0.45,3.0,5.357851506667249,0.1968020148819434,3.451588761910894,0.4515887619108936,1.0,3.0,7.564239720370982,9.128479440741964,Pc,PELLISSIER,Chievo,3
A,PUCCIARELLI,A,Chievo,0.55,4.0,5.402343137404484,0.2077317226503239,5.278414700854498,1.278414700854498,2.49,7.470000000000001,13.00886612297074,11.07773224594148,A,PUCCIARELLI,Chievo,4
C,KIYINE,C;W;T,Chievo,0.55,4.0,5.402343137404484,0.2077317226503239,5.278414700854498,1.278414700854498,0.5,1.5,10.02386612297074,17.04773224594148,CWT,KIYINE,Chievo,4
C,VIGNATO,T;A,Chievo,0.2,0.9999999999999999,5.268868245192779,0.1749425993451826,-0.9107650026858258,-1.910765002685826,0.22,0.66,-1.270160878422095,-3.860321756844191,TA,VIGNATO,Chievo,1
D,RIGIONE,Dc,Chievo,0.1,0.9999999999999999,5.268868245192779,0.1749425993451826,-2.3281687761049,-3.3281687761049,0.2,0.6000000000000001,-3.790456465609305,-8.780912931218609,Dc,RIGIONE,Chievo,1
D,JAROSZYNSKI,Ds;E,Chievo,0.6,5.0,5.446834768141719,0.2186614304187043,6.396538753088552,1.396538753088552,0.44,1.32,11.89834473197687,21.15668946395374,DsE,JAROSZYNSKI,Chievo,5
D,BANI,Dc,Chievo,0.75,6.0,5.491326398878955,0.2295911381870847,8.932066578741686,2.932066578741686,1.16,3.48,17.43311892817022,27.90623785634045,Dc,BANI,Chievo,5
D,MAIETTA,Dc,Empoli,0.7,5.0,5.445306141651353,0.2186985168717882,7.804757637325409,2.804757637325409,0.94,2.82,15.12250300569828,24.60500601139655,Dc,MAIETTA,Empoli,5
C,LOLLO,C,Empoli,0.45,3.0,5.356322880176885,0.1968391013350274,3.442403872728684,0.4424038727286836,1.03,3.09,7.59310240690519,9.00620481381038,C,LOLLO,Empoli,3
A,MCHEDLIDZE,Pc,Empoli,0.5,5.0,5.445306141651353,0.2186985168717882,4.969950090487255,-0.03004990951274511,0.76,2.28,9.871911831323848,15.18382366264769,Pc,MCHEDLIDZE,Empoli,5
C,CAPEZZI,M;C,Empoli,0.8,5.0,5.445306141651353,0.2186985168717882,9.222161410744489,4.222161410744489,1.71,5.13,18.76779859288549,27.27559718577099,MC,CAPEZZI,Empoli,5
A,JAKUPOVIC,Pc,Empoli,0.4,0.9999999999999999,5.267339618702414,0.1749796857982666,1.914857654970112,0.9148576549701121,0.28,0.8400000000000001,3.784292982486528,5.888585964973057,Pc,JAKUPOVIC,Empoli,1
A,MRAZ,Pc,Empoli,0.5,6.0,5.489797772388589,0.2296282246401686,5.379372256011779,-0.6206277439882211,0.46,1.38,10.14124264673639,17.52248529347278,Pc,MRAZ,Empoli,6
D,RASMUSSEN,Dc,Empoli,0.7,3.0,5.356322880176885,0.1968391013350274,6.985913306276375,3.985913306276375,0.43,1.29,12.91884137487322,23.25768274974644,Dc,RASMUSSEN,Empoli,3
P,PROVEDEL,Por,Empoli,0.8,6.0,5.489797772388589,0.2296282246401686,9.631583576269007,3.631583576269007,1.34,4.02,18.93212940829802,29.82425881659605,Por,PROVEDEL,Empoli,6
C,BENNACER,C,Empoli,0.8,5.0,5.445306141651353,0.2186985168717882,9.222161410744489,4.222161410744489,2.37,7.11,19.75779859288549,25.29559718577099,C,BENNACER,Empoli,5
D,LAURINI,Dd;E,Fiorentina,0.5,3.0,5.38851138655972,0.1960581665943738,4.344513283075246,1.344513283075246,0.2,0.6000000000000001,7.933055915478843,14.66611183095769,DdE,LAURINI,Fiorentina,3
A,THEREAU,A,Fiorentina,0.3,13.0,5.83342769393207,0.3053552442781778,5.603927391482252,-7.396072608517748,2.38,7.14,13.41577289522967,12.55154579045934,A,THEREAU,Fiorentina,13
D,DIKS,Dd;E,Fiorentina,0.4,4.0,5.433003017296954,0.2069878743627542,3.336531675180677,-0.6634683248193229,0.22,0.66,6.192091143704141,11.06418228740828,DdE,DIKS,Fiorentina,4
A,ZEKHNINI,A,Fiorentina,0.1,2.0,5.344019755822484,0.1851284588259934,-1.734523976125586,-3.734523976125586,0.5,1.5,-2.297457248682552,-7.594914497365103,A,ZEKHNINI,Fiorentina,2
C,NORGAARD,M;C,Fiorentina,0.6,5.0,5.477494648034188,0.2179175821311346,6.580761387543347,1.580761387543347,1.28,3.84,13.48201313349109,19.28402626698219,MC,NORGAARD,Fiorentina,5
A,SOTTIL,A,Fiorentina,0.1,2.0,5.344019755822484,0.1851284588259934,-1.734523976125586,-3.734523976125586,0.28,0.8400000000000001,-2.627457248682552,-6.934914497365103,A,SOTTIL,Fiorentina,2
A,GRAICIAR,Pc,Fiorentina,0.3,0.9999999999999999,5.299528125085249,0.174198751057613,0.6908614051880507,-0.3091385948119492,0.2,0.6000000000000001,1.513803110279348,1.827606220558696,Pc,GRAICIAR,Fiorentina,1
A,VLAHOVIC,Pc,Fiorentina,0.45,0.9999999999999999,5.299528125085249,0.174198751057613,2.816967065316661,1.816967065316661,0.68,2.04,5.96924649106016,7.85849298212032,Pc,VLAHOVIC,Fiorentina,1
P,SPORTIELLO,Por,Frosinone,0.9,6.0,5.485430268130402,0.2297341859346942,11.02274480916745,5.022744809167452,1.03,3.09,20.91131838558292,35.64263677116583,Por,SPORTIELLO,Frosinone,6
C,GORI,M;C,Frosinone,0.45,0.9999999999999999,5.262972114444227,0.1750856470927922,2.597317001159021,1.597317001159021,1.0,3.0,6.063334166177819,6.126668332355639,MC,GORI,Frosinone,1
